prodcode,bb,ace,arb,arnie,mra,sglti,loop
"47021",,1,,,,,
"48098",,1,,,,,
"16197",,1,,,,,
"34719",,1,,,,,
"4571",,1,,,,,
"20849",,1,,,,,
"48180",,1,,,,,
"64739",,1,,,,,
"34453",,1,,,,,
"54288",,1,,,,,
"76100",,1,,,,,
"55588",,1,,,,,
"54733",,1,,,,,
"32514",,1,,,,,
"81877",,1,,,,,
"68021",,1,,,,,
"17120",,1,,,,,
"41417",,1,,,,,
"67075",,1,,,,,
"54037",,1,,,,,
"45554",,1,,,,,
"28586",,1,,,,,
"76433",,1,,,,,
"45324",,1,,,,,
"14478",,1,,,,,
"63010",,1,,,,,
"34382",,1,,,,,
"66597",,1,,,,,
"79531",,1,,,,,
"82455",,1,,,,,
"69",,1,,,,,
"32857",,1,,,,,
"1121",,1,,,,,
"54941",,1,,,,,
"3720",,1,,,,,
"79406",,1,,,,,
"59996",,1,,,,,
"2927",,1,,,,,
"30921",,1,,,,,
"8800",,1,,,,,
"62036",,1,,,,,
"58195",,1,,,,,
"55885",,1,,,,,
"81175",,1,,,,,
"69074",,1,,,,,
"56516",,1,,,,,
"34540",,1,,,,,
"17474",,1,,,,,
"34953",,1,,,,,
"34652",,1,,,,,
"54942",,1,,,,,
"82",,1,,,,,
"59603",,1,,,,,
"85631",,1,,,,,
"77315",,1,,,,,
"63030",,1,,,,,
"28902",,1,,,,,
"6786",,1,,,,,
"54928",,1,,,,,
"79849",,1,,,,,
"38510",,1,,,,,
"59557",,1,,,,,
"71115",,1,,,,,
"56850",,1,,,,,
"12412",,1,,,,,
"77046",,1,,,,,
"65570",,1,,,,,
"57658",,1,,,,,
"78169",,1,,,,,
"19223",,1,,,,,
"34528",,1,,,,,
"51807",,1,,,,,
"40355",,1,,,,,
"80051",,1,,,,,
"33646",,1,,,,,
"23252",,1,,,,,
"85046",,1,,,,,
"20975",,1,,,,,
"68247",,1,,,,,
"41532",,1,,,,,
"43507",,1,,,,,
"70917",,1,,,,,
"84294",,1,,,,,
"11351",,1,,,,,
"37930",,1,,,,,
"35794",,1,,,,,
"21943",,1,,,,,
"55903",,1,,,,,
"82363",,1,,,,,
"63824",,1,,,,,
"33811",,1,,,,,
"37908",,1,,,,,
"51714",,1,,,,,
"6806",,1,,,,,
"66772",,1,,,,,
"56506",,1,,,,,
"38899",,1,,,,,
"59972",,1,,,,,
"43813",,1,,,,,
"43416",,1,,,,,
"38995",,1,,,,,
"8105",,1,,,,,
"59567",,1,,,,,
"46975",,1,,,,,
"78808",,1,,,,,
"217",,1,,,,,
"37964",,1,,,,,
"48008",,1,,,,,
"2613",,1,,,,,
"74417",,1,,,,,
"72341",,1,,,,,
"39147",,1,,,,,
"58874",,1,,,,,
"86648",,1,,,,,
"33894",,1,,,,,
"1807",,1,,,,,
"47159",,1,,,,,
"71004",,1,,,,,
"277",,1,,,,,
"32597",,1,,,,,
"74066",,1,,,,,
"45337",,1,,,,,
"60309",,1,,,,,
"16212",,1,,,,,
"59111",,1,,,,,
"18219",,1,,,,,
"9693",,1,,,,,
"22708",,1,,,,,
"66162",,1,,,,,
"16924",,1,,,,,
"61499",,1,,,,,
"42908",,1,,,,,
"46979",,1,,,,,
"13589",,1,,,,,
"16710",,1,,,,,
"6288",,1,,,,,
"9731",,1,,,,,
"68759",,1,,,,,
"16196",,1,,,,,
"34432",,1,,,,,
"54298",,1,,,,,
"77415",,1,,,,,
"84153",,1,,,,,
"74040",,1,,,,,
"61694",,1,,,,,
"68372",,1,,,,,
"6261",,1,,,,,
"3203",,1,,,,,
"32616",,1,,,,,
"58751",,1,,,,,
"34562",,1,,,,,
"57588",,1,,,,,
"10882",,1,,,,,
"11567",,1,,,,,
"42894",,1,,,,,
"72336",,1,,,,,
"77407",,1,,,,,
"82813",,1,,,,,
"81936",,1,,,,,
"8923",,1,,,,,
"37080",,1,,,,,
"56704",,1,,,,,
"87812",,1,,,,,
"89130",,1,,,,,
"54201",,1,,,,,
"81590",,1,,,,,
"15121",,1,,,,,
"8268",,1,,,,,
"58863",,1,,,,,
"73716",,1,,,,,
"78524",,1,,,,,
"59915",,1,,,,,
"43412",,1,,,,,
"35731",,1,,,,,
"5275",,1,,,,,
"56169",,1,,,,,
"73659",,1,,,,,
"42723",,1,,,,,
"41538",,1,,,,,
"34544",,1,,,,,
"80",,1,,,,,
"37778",,1,,,,,
"67789",,1,,,,,
"81449",,1,,,,,
"79078",,1,,,,,
"17624",,1,,,,,
"12574",,1,,,,,
"16708",,1,,,,,
"80498",,1,,,,,
"33977",,1,,,,,
"52088",,1,,,,,
"57333",,1,,,,,
"34937",,1,,,,,
"41617",,1,,,,,
"58682",,1,,,,,
"57378",,1,,,,,
"56013",,1,,,,,
"34567",,1,,,,,
"6468",,1,,,,,
"67719",,1,,,,,
"54899",,1,,,,,
"50607",,1,,,,,
"84750",,1,,,,,
"51258",,1,,,,,
"57539",,1,,,,,
"56473",,1,,,,,
"3929",,1,,,,,
"22439",,1,,,,,
"66895",,1,,,,,
"5735",,1,,,,,
"34583",,1,,,,,
"75410",,1,,,,,
"5861",,1,,,,,
"17633",,1,,,,,
"53820",,1,,,,,
"77400",,1,,,,,
"34390",,1,,,,,
"26995",,1,,,,,
"1904",,1,,,,,
"25998",,1,,,,,
"71737",,1,,,,,
"52407",,1,,,,,
"15958",,1,,,,,
"58461",,1,,,,,
"7314",,1,,,,,
"59699",,1,,,,,
"48214",,1,,,,,
"43012",,1,,,,,
"45816",,1,,,,,
"79484",,1,,,,,
"72941",,1,,,,,
"70667",,1,,,,,
"633",,1,,,,,
"53612",,1,,,,,
"72295",,1,,,,,
"6362",,1,,,,,
"18392",,1,,,,,
"15108",,1,,,,,
"50863",,1,,,,,
"65599",,1,,,,,
"58843",,1,,,,,
"15135",,1,,,,,
"3069",,1,,,,,
"34893",,1,,,,,
"18269",,1,,,,,
"77615",,1,,,,,
"61117",,1,,,,,
"38285",,1,,,,,
"60744",,1,,,,,
